,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
München,München,LOC,0.10365854,0.00000000,de,8.20000000,4245720-8,2867714,P,48.13743000,11.57549000,EUROPE,Germany,WCE
Harz,Harz,LOC,0.04878049,0.00000000,de,8.20000000,4023568-3,2909965,T,51.75619000,10.63462000,EUROPE,Germany,WCE
Glatteisgefahr,Glatteisgefahr,LOC,0.17073171,0.00000000,de,8.20000000,,0,,,,,,
Wochenmitte,Wochenmitte,LOC,0.01829268,0.00000000,de,8.20000000,,0,,,,,,
Warnungen,Warnungen,LOC,0.00000000,0.00000000,de,7.30000000,,0,,,,,,
Frankfurt,Frankfurt,LOC,0.12328767,0.06849315,de,7.30000000,4018118-2,2925533,P,50.11552000,8.68417000,EUROPE,Germany,WCE
Oberpfalz,Oberpfalz,LOC,-0.08219178,0.00000000,de,7.30000000,4041837-6,2864549,P,49.28028000,11.46278000,EUROPE,Germany,WCE
Norddeutschland,Norddeutschland,LOC,0.28767123,0.00000000,de,7.30000000,4075454-6,11978817,T,51.47087000,6.56787000,EUROPE,Germany,WCE
Bergen,Bergen,LOC,-0.32307692,0.15384615,de,6.50000000,1027742-0,3161732,P,60.39299000,5.32415000,EUROPE,Norway,NEU
Wien,Wien,LOC,0.04687500,0.00000000,de,6.40000000,4066009-6,2761369,P,48.20849000,16.37208000,EUROPE,Austria,WCE
Winterdienste,Winterdienste,LOC,0.15625000,0.62500000,de,6.40000000,,0,,,,,,
Europas,Europas,LOC,0.10937500,0.00000000,de,6.40000000,,0,,,,,,
Dauereinsatz,Dauereinsatz,LOC,0.00000000,0.62500000,de,6.40000000,,0,,,,,,
Winterwetter,Winterwetter,LOC,0.32812500,0.00000000,de,6.40000000,,0,,,,,,
Schneetreiben,Schneetreiben,LOC,0.32812500,0.00000000,de,6.40000000,,0,,,,,,
Dauerfrost,Dauerfrost,LOC,0.00000000,0.15625000,de,6.40000000,,0,,,,,,
Niedersachsens,Niedersachsens,LOC,-0.33035714,0.35714286,de,5.60000000,,0,,,,,,
Spanien,Spanien,LOC,0.00000000,0.00000000,de,5.50000000,4055964-6,2510769,A,40.00000000,-4.00000000,EUROPE-AFRICA,Spain,MED
Halle,Halle,LOC,0.00000000,0.00000000,de,5.50000000,4023027-2,2911522,P,51.48158000,11.97947000,EUROPE,Germany,WCE
Brandenburgs,Brandenburgs,LOC,0.38181818,0.36363636,de,5.50000000,,8181624,S,52.36213000,13.50168000,EUROPE,Germany,WCE
Schneeregen,Schneeregen,LOC,0.00000000,0.00000000,de,5.50000000,,0,,,,,,
Tierpark Nordhorn,Tierpark Nordhorn,LOC,-0.12727273,0.00000000,de,5.50000000,,0,,,,,,
Schneeschauer,Schneeschauer,LOC,0.18181818,0.00000000,de,5.50000000,,0,,,,,,
Silvesternacht,Silvesternacht,LOC,0.00000000,0.00000000,de,5.50000000,,0,,,,,,
Kaltfront,Kaltfront,LOC,0.00000000,0.00000000,de,5.50000000,,0,,,,,,
Niederbayern,Niederbayern,LOC,0.00909091,0.27272727,de,5.50000000,4034367-4,2881485,P,48.52961000,12.16179000,EUROPE,Germany,WCE
"Sturmtief ""Elli","Sturmtief ""Elli",LOC,-0.12727273,0.36363636,de,5.50000000,,0,,,,,,
