keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Autounfall Glätte',-0.7009668165683277,1.07618853108355,-0.5135774106975928,0.10845175896466488,7.0
'Eistage',-0.15378123959640644,0.5488383891073192,-0.4781247193289156,0.05709300512287581,4.0
'Frost',0.1474328238428708,0.9805901812985235,-0.11112605986031565,0.8174609011528712,415.0
'Frosttage',-0.8503531826226552,1.5859126431274393,1.3839014122404754,1.68348563488687,4.0
'Glatteis',-0.2006870017564771,0.9834214030884758,-0.011031940978636856,0.9977914363174826,387.0
'Jahrhundertwinter',-0.002014332864111807,0.4259721391708158,0.37144685102294095,1.0806770862488915,4.0
'Kalte Luftmassen',-0.5958551530142078,0.8119615348083619,0.08981292663962837,1.0664383508418553,6.0
'Kaltfront Winter',-0.3994451429412041,0.7980634931296378,-0.21240815197718316,0.7059360094642048,7.0
'Kaltluft',0.06757933301129576,0.6686992760775928,0.18744463522764027,1.375834709559022,15.0
'Kälte Heizen',-0.36387189669531983,0.9706747912021607,0.4169365133914577,1.3869793624900233,17.0
'Kältebus',0.08913817469878453,0.9689657174659533,0.04059152399470444,1.1746111986275325,69.0
'Kälteeinbruch',0.43094385994324047,0.7383105495357759,-0.06994454893471523,1.0086065378300195,42.0
'Kältewelle Klimakrise',0.14944790333512925,1.2627530870232662,0.6624848041087464,1.1677994082773344,5.0
'Kältewelle Klimawandel',0.01798279645607872,1.1346379443251744,1.135485041527206,0.5557375513283234,5.0
'Kältewelle',-0.07479152849244698,0.8067345800253184,0.2059426163964758,1.0570664634761417,60.0
'Polarwirbel',-0.12573266402294825,0.6088929011399384,-0.40411806487002405,0.5153201934259624,10.0
'Schnee',0.03531974528404592,0.8692758834214599,0.28406304166271207,1.3694617453305342,28.0
'Temperatursturz',-0.050631287970743996,0.973901850066204,-0.1700083445670309,0.7084953139404787,42.0
'Wintereinbruch',0.07476102060731676,1.0351470740484672,0.08597794808881333,1.0518702395582145,249.0
'Wärmestuben Kälte',0.20610873897517204,0.7531897593207745,0.21966327242964429,0.9896648080903436,5.0
