,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
Der Winter naht,Der Winter naht,MISC,,,de,1,,,,,,
Am Wochenende,Am Wochenende,MISC,,,de,1,,,,,,
Weidegans-Produktion,Weidegans-Produktion,MISC,,,de,1,,,,,,
Minimum,Minimum,MISC,,,de,1,,,,,,
s…,s…,MISC,,,de,1,,,,,,
De…,De…,MISC,,,de,1,,,,,,
Hauptrollen,Hauptrollen,MISC,,,de,1,,,,,,
Serien-Neuverfilmung,Serien-Neuverfilmung,MISC,,,de,1,,,,,,
Netflix,Netflix,MISC,,,de,1,,,,,,
Frost k…,Frost k…,MISC,,,de,1,,,,,,
Big Brother,Big Brother,MISC,,,de,1,,,,,,
